Time,Velocity
0.0,0.0
2e-05,0.00504
4e-05,0.010039999999999999
6e-05,0.01508
8e-05,0.02012
0.0001,0.02512
0.00012,0.03016
0.00014,0.0352
0.00016,0.0402
0.00018,0.04524
0.0002,0.050280000000000005
0.00022,0.055279999999999996
0.00024,0.06032
0.00026,0.06536
0.00028,0.07035999999999999
0.0003,0.0754
0.00032,0.08044000000000001
0.00034,0.08543999999999999
0.00036,0.09048
0.00038,0.09552
0.0004,0.10052
0.00042,0.10555999999999999
0.00044,0.1106
0.00046,0.11560000000000001
0.00048,0.12064
0.0005,0.12568
0.00052,0.13068
0.00054,0.13572
0.00056,0.14076
0.00058,0.14576
0.0006,0.1508
0.00062,0.15584
0.00064,0.16084
0.00066,0.16587999999999997
0.00068,0.17092
0.0007,0.17592
0.00072,0.18096
0.00074,0.186
0.00076,0.191
0.00078,0.19604
0.0008,0.20108
0.00082,0.20608
0.00084,0.21111999999999997
0.00086,0.21616
0.00088,0.22116
0.0009,0.2262
0.00092,0.23124
0.00094,0.23624
0.00096,0.24128
0.00098,0.24632
0.001,0.25132
0.00102,0.25636
0.00104,0.2614
0.00106,0.2664
0.00108,0.27144
0.0011,0.27648
0.00112,0.28148
0.00114,0.28652
0.00116,0.29156000000000004
0.00118,0.29656
0.0012,0.3016
0.00122,0.30664
0.00124,0.31164000000000003
0.00126,0.31668
0.00128,0.32172
0.0013,0.32672
0.00132,0.33175999999999994
0.00134,0.3368
0.00136,0.3418
0.00138,0.34684
0.0014,0.35187999999999997
0.00142,0.35688
0.00144,0.36192
0.00146,0.36696
0.00148,0.37196
0.0015,0.377
0.00152,0.382
0.00154,0.38704000000000005
0.00156,0.39208
0.00158,0.39708
0.0016,0.40212
0.00162,0.40716
0.00164,0.41216
0.00166,0.4172
0.00168,0.42223999999999995
0.0017,0.42723999999999995
0.00172,0.43228
0.00174,0.43732
0.00176,0.44232
0.00178,0.44736
0.0018,0.4524
0.00182,0.45740000000000003
0.00184,0.46244
0.00186,0.46748
0.00188,0.47248
0.0019,0.47752000000000006
0.00192,0.48256
0.00194,0.48756
0.00196,0.4926
0.00198,0.49764
0.002,0.50264
0.00202,0.50768
0.00204,0.51272
0.00206,0.51772
0.00208,0.52276
0.0021,0.5278
0.00212,0.5328
0.00214,0.53784
0.00216,0.54288
0.00218,0.54788
0.0022,0.55292
0.00222,0.55792
0.00224,0.56296
0.00226,0.5680000000000001
0.00228,0.573
0.0023,0.57804
0.00232,0.58308
0.00234,0.5880799999999999
0.00236,0.59312
0.00238,0.59816
0.0024,0.60316
0.00242,0.6082
0.00244,0.61324
0.00246,0.61824
0.00248,0.6232800000000001
0.0025,0.62832
0.00252,0.63332
0.00254,0.63836
0.00256,0.6434
0.00258,0.6484
0.0026,0.65344
0.00262,0.6584800000000001
0.00264,0.6634800000000001
0.00266,0.66852
0.00268,0.6735199999999999
0.0027,0.67856
0.00272,0.6836
0.00274,0.6886000000000001
0.00276,0.6936399999999999
0.00278,0.69868
0.0028,0.70368
0.00282,0.70872
0.00284,0.71376
0.00286,0.71876
0.00288,0.7238
0.0029,0.72884
0.00292,0.73384
0.00294,0.73888
0.00296,0.74392
0.00298,0.74892
0.003,0.7539600000000001
0.00302,0.7589600000000001
0.00304,0.764
0.00306,0.76904
0.00308,0.7740400000000001
0.0031,0.77908
0.00312,0.7841199999999999
0.00314,0.7891199999999999
0.00316,0.79416
0.00318,0.7992
0.0032,0.8042
0.00322,0.80924
0.00324,0.81428
0.00326,0.81928
0.00328,0.82432
0.0033,0.8293200000000001
0.00332,0.83436
0.00334,0.8394
0.00336,0.8444
0.00338,0.8494400000000001
0.0034,0.8544799999999999
0.00342,0.85948
0.00344,0.86452
0.00346,0.8695600000000001
0.00348,0.87456
0.0035,0.8795999999999999
0.00352,0.8845999999999999
0.00354,0.88964
0.00356,0.89468
0.00358,0.89968
0.0036,0.90472
0.00362,0.90976
0.00364,0.91476
0.00366,0.9198000000000001
0.00368,0.92484
0.0037,0.92984
0.00372,0.93488
0.00374,0.93988
0.00376,0.9449200000000001
0.00378,0.9499599999999999
0.0038,0.95496
0.00382,0.96
0.00384,0.9650400000000001
0.00386,0.97004
0.00388,0.97508
0.0039,0.98008
0.00392,0.98512
0.00394,0.99016
0.00396,0.9951599999999999
0.00398,1.0002
0.004,1.0052400000000001
0.00402,1.01024
0.00404,1.01528
0.00406,1.0202799999999999
0.00408,1.02532
0.0041,1.03036
0.00412,1.03536
0.00414,1.0404
0.00416,1.04544
0.00418,1.05044
0.0042,1.05548
0.00422,1.06048
0.00424,1.06552
0.00426,1.07056
0.00428,1.07556
0.0043,1.0806
0.00432,1.08564
0.00434,1.09064
0.00436,1.09568
0.00438,1.10068
0.0044,1.10572
0.00442,1.11076
0.00444,1.1157599999999999
0.00446,1.1208
0.00448,1.12584
0.0045,1.13084
0.00452,1.13588
0.00454,1.14088
0.00456,1.14592
0.00458,1.15096
0.0046,1.15596
0.00462,1.161
0.00464,1.166
0.00466,1.17104
0.00468,1.17608
0.0047,1.1810800000000001
0.00472,1.1861199999999998
0.00474,1.19112
0.00476,1.19616
0.00478,1.2012
0.0048,1.2062
0.00482,1.2112399999999999
0.00484,1.21628
0.00486,1.22128
0.00488,1.22632
0.0049,1.23132
0.00492,1.23636
0.00494,1.2414
0.00496,1.2464
0.00498,1.25144
0.005,1.25644
0.00502,1.2614800000000002
0.00504,1.2665199999999999
0.00506,1.2715199999999998
0.00508,1.27656
0.0051,1.2815599999999998
0.00512,1.2866
0.00514,1.2916400000000001
0.00516,1.29664
0.00518,1.3016800000000002
0.0052,1.30668
0.00522,1.3117200000000002
